Model,Task,Duration,Tools,Score
Deepseek-chat,bug-fix,378.2133011817932,24,2
Deepseek-chat,copywriting,78.34874320030212,5,2
Deepseek-chat,feature,154.0264446735382,13,2
Deepseek-chat,refactor,750.770632982254,49,2
Deepseek-chat,research,169.89255213737488,9,2
Gemini-2.5-flash,bug-fix,20.695990085601807,3,2
Gemini-2.5-flash,copywriting,11.634174108505249,1,1
Gemini-2.5-flash,feature,174.92918801307678,24,2
Gemini-2.5-flash,refactor,28.756421089172363,5,2
Gemini-2.5-flash,research,18.920650005340576,2,1
Gemini-2.5-pro,bug-fix,378.36644887924194,53,2
Gemini-2.5-pro,copywriting,23.65274691581726,3,1
Gemini-2.5-pro,feature,61.60716485977173,8,2
Gemini-2.5-pro,refactor,56.97468900680542,9,2
Gemini-2.5-pro,research,87.69740796089172,6,1
Gemini-3-flash-preview,bug-fix,625.2395598888397,917,2
Gemini-3-flash-preview,copywriting,22.019712924957275,3,2
Gemini-3-flash-preview,feature,26.416281938552856,5,2
Gemini-3-flash-preview,refactor,65.97747421264648,10,2
Gemini-3-flash-preview,research,36.79852628707886,5,1
Gemini-3-pro-preview,bug-fix,330.56384897232056,31,2
Gemini-3-pro-preview,copywriting,27.569406986236572,2,2
Gemini-3-pro-preview,feature,63.58251070976257,7,2
Gemini-3-pro-preview,refactor,65.01950120925903,8,2
Gemini-3-pro-preview,research,49.57346701622009,4,2
GLM-4.7,bug-fix,601.3679168224335,8,2
GLM-4.7,copywriting,181.32957220077515,1,2
GLM-4.7,feature,434.21757912635803,5,2
GLM-4.7,refactor,234.15461468696594,11,2
GLM-4.7,research,324.3823959827423,10,2
Kimi-K2.5,bug-fix,344.681156873703,20,2
Kimi-K2.5,copywriting,328.5904848575592,2,2
Kimi-K2.5,feature,35.909747838974,3,2
Kimi-K2.5,refactor,484.81286787986755,9,2
Kimi-K2.5,research,34.31587195396423,3,0
Qwen3-VL,bug-fix,653.364853143692,3,2
Qwen3-VL,copywriting,550.4973759651184,3,1
Qwen3-VL,feature,560.52410197258,3,2
Qwen3-VL,refactor,1046.1106989383698,12,2
Qwen3-VL,research,849.8525021076202,6,2
GPT-4o,bug-fix,26.772332906723022,5,2
GPT-4o,copywriting,14.561682939529419,1,1
GPT-4o,feature,56.43307375907898,3,2
GPT-4o,refactor,25.328835010528564,4,2
GPT-4o,research,41.664228200912476,7,2
GPT-5.1,bug-fix,18.757267951965332,3,2
GPT-5.1,copywriting,37.495200872421265,1,2
GPT-5.1,feature,35.76158690452576,4,2
GPT-5.1,refactor,41.512797117233276,6,2
GPT-5.1,research,87.64297199249268,5,2
GPT-5.2,bug-fix,35.115350008010864,7,2
GPT-5.2,copywriting,27.0594379901886,1,1
GPT-5.2,feature,31.406631231307983,4,2
GPT-5.2,refactor,38.13324594497681,6,2
GPT-5.2,research,294.2533667087555,17,2
